idx,label,sentence,pca1,pca2,sbh_norm,lambda,score_aug_0.35,is_bh_minima,is_aug_minima
35,cooking,The stockpot filled the kitchen with a savoury smell.,0.2372805460726124,0.1231296264024451,0.07511812185935551,0.0921416044428251,0.08618338553861074,True,True
36,finance,The fund increased its hedge after market volatility returned.,0.0333899595041952,-0.3848202547651822,0.7010613627200206,0.1619084552155419,0.35061197284210943,False,False
37,finance,Rising inflation reduced the real yield on the bond.,0.011109999269659655,-0.3690139696383988,0.7365660541114882,0.012874404614107162,0.26616648193819054,False,False
38,finance,The analyst updated the valuation after the earnings call.,0.07819006719444409,-0.4658824130956134,0.7353416469597052,0.3391270760719325,0.47780217588265295,False,False
39,finance,The portfolio shifted toward higher-liquidity assets.,0.019106132654390238,-0.46556092218944967,0.6417891449632623,0.4140441455166841,0.4937548953229865,False,False
40,finance,A dividend increase signalled confidence from the board.,0.06979652906391276,-0.45291830959023166,0.694811734610768,0.025571403532394628,0.25980551940982527,False,False
41,finance,The bank tightened collateral rules for new loans.,0.011281487151600102,-0.46358913527976614,0.6426658088130801,0.03279345814201879,0.24624878087689023,False,False
42,finance,Investors watched the maturity profile of the debt closely.,-0.07579363447327182,-0.5330242503866817,0.8131912612641042,0.36793879875697816,0.5237771606344723,False,False
43,finance,The ledger showed a premium paid for the acquisition.,-0.03980756669237601,-0.37881348881753074,0.8113736284186814,0.27371542047473263,0.4618957932551147,False,False
44,finance,The trader closed the arbitrage spread before the market moved.,0.09252862101083748,-0.2734159033199248,0.8740286884209313,0.007520490200575004,0.3107983595776997,False,False
45,finance,Cash flow improved after the company refinanced its liabilities.,-0.04253104662102585,-0.5608156992576456,0.8522746644588044,0.01852222222693758,0.31033557700809095,False,False
46,finance,The repo market reflected short-term funding stress.,-0.11066817515380538,-0.5298537397613207,0.8744522986195898,0.0467883889849091,0.33647075735704735,False,False
47,finance,A coupon payment arrived at the end of the quarter.,0.028721780603937992,-0.16301271696844039,0.18705752959384234,0.012545566217217318,0.07362475339903607,True,True
48,emotions,She felt a sudden wave of joy when the letter arrived.,0.26214395987039685,0.1594613075383119,0.12330114435740247,0.11309056906714032,0.11666427041873206,True,False
49,emotions,A quiet sense of dread settled over the empty room.,0.24679910245743314,0.10788369120835252,0.08124506750878455,0.020658873984687826,0.04186404171812168,True,True
50,emotions,His apology eased some of her lingering resentment.,0.2149383820439407,-0.0012777791162400442,0.2548718760256837,0.12388467012549934,0.16973019219056384,False,False
51,emotions,The reunion filled them with nostalgia and warmth.,0.1391594289648507,0.12978084070826504,0.4209808237098949,0.01756465784262501,0.15876031589616946,False,False
52,emotions,Anxiety made the wait feel much longer than it was.,0.2424074344868006,-0.10281147438692731,0.5198379929177038,0.016148565628754077,0.19243986517988648,False,False
53,emotions,The painting inspired awe in almost every visitor.,0.0016503376844443753,0.2085623528937075,0.9618462824780973,0.02329786632105731,0.35178981197602127,False,False
54,emotions,He spoke with affection even after the argument.,0.24778196221066945,0.014793782093668195,0.3100040900073995,0.017293649856523995,0.11974230390933041,False,False
55,emotions,Grief returned sharply at the sound of the old song.,0.3192401971001764,0.10818843263746142,0.3917135297744368,0.024495680719464456,0.15302192788870475,False,False
56,emotions,Their success brought relief more than excitement.,0.09597386039619346,-0.09215596805280515,0.09109250796177082,0.009801724244660021,0.0382534985456488,True,True
57,emotions,Envy faded once she understood the work behind the result.,0.24793078550113515,0.10519107933065747,0.08523318602123485,0.16555984714477853,0.13744551575153824,True,False
58,emotions,The child looked at the stage with wonder.,0.05453320308604474,0.04363414471251222,0.49429396340698534,0.23218609344126204,0.3239238479292652,False,False
59,emotions,Contentment replaced the earlier tension by evening.,0.20552617588414165,-0.0290580511113605,0.2711784840726768,0.021985078621265336,0.10920277052925935,False,False
60,anatomy,The tendon connects muscle to bone at the joint.,0.016100891119897917,-0.126421908728904,0.06064087048880709,0.1135632069852673,0.09504038921150623,True,True
61,anatomy,Signals travelled along the neuron toward the spinal cord.,-0.013420248643722477,-0.05354389497593463,0.10153714813129698,0.0,0.03553800184595394,True,True
62,anatomy,The surgeon examined the ventricle on the scan.,0.07059488985707918,-0.05570352326853211,0.09981408089044903,0.01595636997661263,0.04530656879645537,True,True
63,anatomy,Cartilage protected the knee from constant friction.,0.02673757417776528,-0.08979187935192896,0.0,0.01011792043289722,0.006576648281383194,True,True
64,anatomy,The retina converts light into neural signals.,-0.09247760340166769,0.028784907082521283,0.6610544210909101,0.029159043011826462,0.2503224253395057,False,False
65,anatomy,Blood left the heart through the aorta.,0.08955515702889065,-0.002789430191737126,0.3091758894496952,0.007119440687138998,0.11283919775403367,False,False
66,anatomy,The cortex supports several higher cognitive functions.,-0.006461655498428761,-0.17265425382971136,0.3161076425667556,0.00595233460020482,0.11450669238849759,False,False
67,anatomy,The ligament stabilised the ankle after the twist.,0.12375411134299155,-0.11073311312944449,0.1643735049946682,0.007220678950980648,0.06222416806627129,True,True
68,anatomy,The cornea refracts incoming light before it reaches the lens.,-0.08904096745191774,-0.011580807377935817,0.5278393395819834,0.02562759947194189,0.2014017085104564,False,False
69,anatomy,Marrow inside the femur produces blood cells.,-0.02252036304780637,-0.022074733221064766,0.2041706562646103,0.01675336588426548,0.08234941751738617,True,True
70,anatomy,The larynx controls airflow and helps generate speech.,0.04845429623024348,-0.14470828339453992,0.10748282264404814,0.22714704532859017,0.18526456738900046,True,False
71,anatomy,A synapse transmits information between neighbouring neurons.,0.007077810481346631,-0.06075737256710278,0.04352132726141982,0.08322326249448576,0.06932758516291268,True,True
72,music,The melody returned in a softer register near the end.,0.33257014713360095,0.14197748871911336,0.42182153425074004,0.011155983585955933,0.15488892631863035,False,False
73,music,A suspended chord delayed the harmonic resolution.,-0.07025437475492295,-0.018671170984417295,0.4162642077536109,0.45108925538543354,0.43890048871429566,False,False
74,music,The orchestra followed the conductor through the crescendo.,0.09883152824353221,0.18751681071438187,0.6513481393535697,0.011951703392175939,0.23574045597866372,False,False
75,music,Syncopation gave the rhythm a restless energy.,0.18195438823041662,0.06068602955447612,0.23761350646805332,0.012358550352172941,0.09119778499273107,False,True
76,music,The pianist shaped the phrase with delicate rubato.,0.33816379875971775,0.19768828031726104,0.5107883657547158,0.4424089455520861,0.46634174262300654,False,False
77,music,A low drone supported the vocal line underneath.,-0.03413782038238638,-0.09951003417463987,0.22703226210769945,0.012761769448271877,0.08775644187907151,False,True
78,music,The cadence landed cleanly in the final bar.,0.12968777540405166,0.13477531093523296,0.4638709424302797,0.281559399684909,0.3453684396457887,False,False
79,music,Her vibrato widened during the sustained note.,0.16272883220836085,0.003012627010737257,0.27654100928864905,0.5856298822854,0.4774487767365372,False,False
80,music,The fugue introduced each voice in careful sequence.,0.24726231148257202,0.024383393204294435,0.2828887821362393,0.01249115966436229,0.10713032752951925,False,False
81,music,Timbre mattered more than volume in the recording.,0.22018743978011748,0.034363518153331926,0.20263487125078178,0.06797708119641535,0.11510730771544359,True,False
82,music,The sonata opened with a tense repeated motif.,0.2518218062951665,0.10395530810501766,0.0914156830058207,0.02518128002954104,0.04836332107123892,True,True
83,music,A sudden diminuendo changed the emotional colour of the passage.,0.2786337018569852,0.14202974800342816,0.134563724259369,0.06900314123327231,0.09194934529240614,True,True
84,geography,The glacier carved a broad valley through the mountain range.,-0.40231022478142187,0.1422393175511632,0.3277604787771491,0.3308001039577754,0.3297362351445562,False,False
85,geography,Seasonal monsoon winds reshaped the coastal shoreline.,-0.3852982147616047,0.006103409899151221,0.7163731273538644,0.03102171864608423,0.27089471169380724,False,False
86,geography,The river widened into an estuary near the sea.,-0.2678525325877372,-0.12413392562846107,0.9983413179103372,0.004345008518989705,0.35224371680596134,False,False
87,geography,A narrow isthmus joined the two larger landmasses.,-0.3514498944971054,0.101383042784508,0.2240737940729,0.00825885472781024,0.08379408349859166,False,True
88,geography,The plateau rose above the surrounding plain.,-0.47300510511915406,0.15088910917505574,0.7083110042438613,0.1106058033252998,0.31980262364679635,False,False
89,geography,Satellite maps traced the watershed across the region.,-0.5913866383334624,-0.0011388234832061099,0.9999999999997211,1.0,0.9999999999999024,False,False
90,geography,The peninsula extended into the cold northern gulf.,-0.3804133744531408,0.05273101931917799,0.47905325034358276,0.02593682649138262,0.18452757483965268,False,False
91,geography,Heavy erosion deepened the canyon over time.,-0.3034568260386389,-0.04692889218110832,0.8574083365978313,0.0043806509133247785,0.30294034090290206,False,False
92,geography,The archipelago sits far beyond the main shipping route.,-0.30255149000222503,0.013497114629083075,0.6728264273350683,0.3211951077032091,0.44426606957435977,False,False
93,geography,Latitude strongly affects daylight in the winter months.,-0.3499571027421047,0.09576923750195387,0.24027769082352002,0.0657844472591717,0.12685708250669359,False,False
94,geography,The fjord cut inland between steep rocky slopes.,-0.39679407957973956,0.10698871931093669,0.3261948705020922,0.18689305560452324,0.23564869081867237,False,False
95,geography,Topography shaped settlement patterns across the basin.,-0.5138909218577549,0.02344710829985499,0.9273062198936389,0.08098079283744805,0.37719469230711483,False,False
